record_id,source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes,extraction_source
10.1021/acs.jpcc.7b02383_Ir16H8O37,10.1021/acs.jpcc.7b02383,Ir16H8O37,['Ir'],Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDEzNA==, equation: 2.0H2O(g) - 2.0H2(g) + * -> O2*",web
nan_Pt16_1208,,Pt16,['Pt'],Pt,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIxMTU=, equation: CH4(g) + 2.0H2O(g) - 3.0H2(g) + * -> 2.0HO* + C*",web
nan_Ir16_1209,,Ir16,['Ir'],Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MjU5MDE=, equation: 2.0H2O(g) - 2.0H2(g) + N2(g) + * -> 2.0N* + 2.0O*",web
nan_Rh16_1210,,Rh16,['Rh'],Rh,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIyMDE=, equation: 4.0H2O(g) - 4.0H2(g) + * -> 4.0O*",web
nan_Ir16_1211,,Ir16,['Ir'],Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MjU5MDM=, equation: 2.0H2O(g) - 2.0H2(g) + 0.5N2(g) + * -> N* + 2.0O*",web
10.1021/acscatal.3c04337_Pd24Pt72,10.1021/acscatal.3c04337,Pd24Pt72,"['Pd', 'Pt']",Pt,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDUzNDkx, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe16,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQx, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe16_1214,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQz, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe16_1215,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQ0, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe16_1216,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQ2, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe16_1217,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQ3, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe16_1218,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjQ5, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe16_1219,10.1039/D4CY00491D,Fe16,['Fe'],Fe,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjUw, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Co8Fe8,10.1039/D4CY00491D,Co8Fe8,"['Co', 'Fe']",-,False,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjYx, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe8Rh8,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjYz, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe8Rh8_1222,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjY0, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe8Rh8_1223,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjY1, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe8Rh8_1224,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjY2, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe8Rh8_1225,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjY3, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Fe8Rh8_1226,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NjY5, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe8Rh8_1227,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njcx, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Fe8Rh8_1228,10.1039/D4CY00491D,Fe8Rh8,"['Fe', 'Rh']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njcz, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njc5, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1230,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njgw, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1231,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njgx, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1232,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njgy, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1233,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njgz, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1234,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njg0, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Ga12Tb4_1235,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njg1, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Ga12Tb4_1236,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njg2, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Ga12Tb4_1237,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njg4, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1238,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njkw, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1239,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njky, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga12Tb4_1240,10.1039/D4CY00491D,Ga12Tb4,"['Ga', 'Tb']",Ga,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njk0, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Co8Ga8,10.1039/D4CY00491D,Co8Ga8,"['Co', 'Ga']",-,False,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njk1, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Co8Ga8_1242,10.1039/D4CY00491D,Co8Ga8,"['Co', 'Ga']",-,False,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njk2, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Co8Ga8_1243,10.1039/D4CY00491D,Co8Ga8,"['Co', 'Ga']",-,False,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njk3, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Co8Ga8_1244,10.1039/D4CY00491D,Co8Ga8,"['Co', 'Ga']",-,False,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3Njk4, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Ga8Ir8,10.1039/D4CY00491D,Ga8Ir8,"['Ga', 'Ir']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NzAw, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga8Ir8_1246,10.1039/D4CY00491D,Ga8Ir8,"['Ga', 'Ir']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NzAx, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga8Ir8_1247,10.1039/D4CY00491D,Ga8Ir8,"['Ga', 'Ir']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NzAy, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1039/D4CY00491D_Ga8Ir8_1248,10.1039/D4CY00491D,Ga8Ir8,"['Ga', 'Ir']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NzA0, equation: 0.5O2(g) + * -> O*",web
10.1039/D4CY00491D_Ga8Ir8_1249,10.1039/D4CY00491D,Ga8Ir8,"['Ga', 'Ir']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDU3NzA1, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
